Open,High,Low,Close,Adj Close,Volume,year,month,day
87.400002,88.099998,86.199997,86.800003,86.800003,10250502,2023,7,7
87.0,90.599998,86.900002,90.050003,90.050003,35951620,2023,7,10
90.599998,90.599998,89.5,90.0,90.0,17114253,2023,7,11
90.0,90.75,89.25,89.599998,89.599998,10421729,2023,7,12
91.0,91.400002,89.349998,89.849998,89.849998,17704740,2023,7,13
90.599998,91.75,90.0,91.25,91.25,13245628,2023,7,14
91.599998,92.449997,91.150002,91.599998,91.599998,16244703,2023,7,17
91.650002,91.949997,89.75,90.300003,90.300003,8317264,2023,7,18
90.800003,91.150002,90.25,90.800003,90.800003,6640273,2023,7,19
90.949997,91.25,89.75,89.900002,89.900002,9794476,2023,7,20
